id,s1,s41,s42,s43,s44,s45,a0,M1,a11012,a11022,a11032,a11042,a11052,a11062,a11072,a11082,a11092,a11102,a11112,a11122,a11132,a11142,a1301,a1302,a1303,a1304,a1305,a1306,a1307,a1308,a1309,a1310,a1311,a1312,a1313,a1314,a1401,a1402,a1403,a1404,a1405,a1406,a1407,a1408,a1409,a1410,a1411,a1412,a1413,a1414,a2,a301,a302,a4,a501,a6,a7a,a7b,a7c,a8a,a11,a1299,a121,a122,a123,a124,a125,a126,a127,a128,a13,a14,a15,a16,a17,a18,a21,a23,a24,a25,M2,a313,a31a,a31b,a69,a69,a71a,a7ab,a72,a75a,a81,b5
1,1,4,7,17,30,55,2015年10月4日,3,60,30,30,,,,,,,,,,,,1,4,4,,,,,,,,,,,,2,1,1,,,,,,,,,,,,1,1956,59,1,1,1,6,4,1976,30000,103,0,0,0,1,0,0,0,0,0,170,160,3,5,5,5,3,2009,,2009,3.5,1,,,5,3,1956,1981,6,20000,5,2
3,1,4,7,19,33,60,2015年10月2日,4,58,58,32,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,1,1,2,2,,,,,,,,,,,1,1983,32,1,1,1,12,1,2005,48000,90,0,0,0,0,1,0,0,0,0,176,110,5,5,3,5,2,,9997,9997,3.07,5,7,2,5,3,1983,2009,9,32000,1,2
4,1,4,7,19,32,59,2015年10月17日,3,72,33,6,,,,,,,,,,,,1,1,1,,,,,,,,,,,,2,2,2,,,,,,,,,,,,2,1948,67,1,1,1,3,4,-2,23000,99,0,0,0,0,0,0,0,1,0,156,129,4,4,4,5,3,2004,,-3,3.79,2,5,5,3,3,1943,1970,3,23000,5,3
5,1,4,7,17,30,54,2015年10月6日,6,60,63,35,35,8,1,,,,,,,,,1,1,4,4,4,4,,,,,,,,,1,2,1,1,1,1,,,,,,,,,2,1954,61,1,1,1,12,4,1975,50000,90,0,1,0,0,0,0,0,0,0,170,146,4,4,5,5,1,,9997,9997,2.57,3,3,3,4,3,1951,1979,6,40000,5,2
8,1,4,7,22,38,68,2015年9月7日,2,42,17,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1973,42,1,1,1,4,4,1988,22000,91,0,0,0,0,1,0,0,0,0,176,171,3,3,5,4,1,,9997,9997,3.64,1,7,2,4,3,1973,1998,4,18000,1,3
9,1,4,7,21,36,65,2015年9月14日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1929,86,1,1,1,3,-8,-2,48000,60,0,0,0,0,0,0,0,0,1,164,124,3,2,2,5,1,,1937,1937,3.79,1,,,4,7,,,,,,3
14,1,4,7,20,35,63,2015年10月17日,5,52,91,56,27,25,,,,,,,,,,1,1,1,1,1,,,,,,,,,,1,2,1,1,1,,,,,,,,,,2,1963,52,1,1,1,4,4,1979,40000,400,0,0,0,0,1,0,0,0,0,158,150,3,5,4,5,3,9997,,9997,3.5,2,1,5,5,6,,,,,,2
16,1,4,7,15,27,50,2015年9月30日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1934,81,1,1,1,3,2,,0,52,0,0,0,1,0,0,0,0,0,150,80,3,3,4,5,1,,1952,1952,4.36,1,7,7,4,7,,,,,,1
17,1,4,7,21,36,65,2015年9月14日,3,39,14,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,2,2,2,,,,,,,,,,,,2,1977,38,1,0,3,3,4,1990,10000,40,0,0,0,0,0,0,0,0,1,160,110,3,4,4,1,3,2005,,2005,3.07,3,3,6,4,3,1977,2001,4,40000,1,-8
19,1,4,7,20,35,62,2015年10月2日,2,44,23,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,1966,49,1,1,1,6,4,1989,60000,54,0,1,0,0,0,0,0,0,0,170,140,5,5,5,5,1,,9997,9997,2.93,3,2,2,4,4,1971,2003,9,40000,1,3
20,1,4,7,21,37,66,2015年10月1日,7,62,58,52,83,58,51,27,,,,,,,,4,4,4,4,4,4,4,,,,,,,,1,1,1,1,1,1,1,,,,,,,,2,1962,53,1,1,1,4,4,1978,36000,6,0,0,0,0,0,0,0,0,1,160,92,3,2,1,2,1,,9997,9997,4.14,1,,,4,3,1958,1987,4,0,5,2
25,1,4,7,15,27,50,2015年10月1日,6,65,65,36,35,10,5,,,,,,,,,1,1,4,4,4,4,,,,,,,,,1,1,2,2,2,2,,,,,,,,,1,1950,65,1,1,4,4,4,1967,20000,36.799999,0,0,1,0,0,0,0,0,0,165,120,4,5,5,5,3,-2,,1980,3.21,4,1,6,4,3,1951,1979,4,20000,5,3
26,1,4,7,21,36,64,2015年9月18日,2,61,62,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1954,61,1,1,1,7,4,1976,50000,64,0,1,0,0,0,0,0,0,0,169,130,3,4,5,2,1,,1960,9997,3.14,1,3,6,5,3,1953,1981,4,30000,1,3
31,1,4,7,18,31,56,2015年10月3日,2,63,31,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1949,66,1,1,1,7,4,1965,40000,63,0,1,0,0,0,0,0,0,0,176,170,5,5,5,5,1,,9997,9997,3.14,3,5,5,5,3,1952,1977,7,30000,5,3
32,1,4,7,21,37,66,2015年9月23日,1,62,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1953,62,4,0,1,7,4,1989,100000,75,0,0,1,0,0,0,0,0,0,167,140,2,5,5,5,2,,9997,9997,3.5,5,7,7,5,3,1953,1979,4,36000,5,2
38,1,4,7,15,27,51,2015年10月6日,4,44,43,20,20,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,2,2,,,,,,,,,,,2,1996,19,1,0,1,4,4,2012,-2,15,0,0,0,0,0,0,0,0,1,153,110,4,4,4,4,3,2014,,2014,3.57,1,,,5,2,1995,,4,-3,1,2
39,1,4,7,18,31,56,2015年10月3日,2,30,5,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1984,31,1,1,1,12,4,2005,100000,90,0,0,0,0,0,0,0,0,1,176,170,2,5,5,5,3,-2,,2015,3,4,2,4,4,3,1986,1986,9,0,5,3
40,1,4,7,21,36,65,2015年9月13日,2,41,12,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1978,37,1,1,1,7,4,1997,24000,38,0,0,0,0,1,0,0,0,0,157,148,4,5,5,4,3,9997,,9997,3.29,2,5,2,4,3,1974,2000,11,100000,1,2
43,1,4,7,21,36,65,2015年9月12日,1,58,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1951,64,1,1,1,4,4,1968,300000,48,0,0,0,0,0,0,0,0,1,175,170,3,5,5,4,2,,9997,9997,3.93,1,7,5,4,3,1957,1985,4,20000,5,2
44,1,4,7,16,29,53,2015年10月1日,2,65,62,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,1982,33,1,1,1,10,4,2006,300000,81.300003,0,0,0,0,1,0,0,0,0,163,114,5,5,5,5,3,2014,,2014,3.14,3,6,4,5,1,,,,,,2
45,1,4,7,20,34,61,2015年10月4日,1,58,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1958,57,1,1,1,6,4,1976,35000,54,0,1,0,0,0,0,0,0,1,154,110,3,5,2,2,1,,9997,1982,3.57,1,7,5,3,3,1958,1982,4,70000,1,2
47,1,4,7,21,36,65,2015年9月14日,1,55,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1960,55,1,0,3,6,4,1978,22000,62,0,0,0,0,0,0,0,0,1,169,140,3,4,4,5,2,,9997,9997,2.57,3,5,4,4,3,1961,1985,6,26400,5,4
48,1,4,7,18,31,56,2015年10月3日,1,55,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1959,56,1,1,1,6,4,1976,20000,21,0,0,0,0,0,0,0,0,1,159,104,5,5,5,4,2,,9997,1995,2.71,2,1,3,5,3,1961,1985,4,36000,1,2
49,2,4,7,22,38,69,2015年8月29日,1,57,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1962,53,1,0,2,1,,,30000,15,0,0,0,0,0,0,0,0,1,166,100,2,3,4,1,3,2003,,2003,3.86,1,5,5,4,3,1958,1982,4,30000,1,2
50,1,4,7,15,27,51,2015年10月7日,2,28,4,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1986,29,2,1,1,12,4,2010,200000,18,0,0,0,0,0,0,0,0,1,170,126,4,4,4,1,3,2015,,2011,3.07,4,7,5,5,3,1987,2011,12,50000,1,2
